epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,10310.1,0.38855,0.20827,0.93417,0.97714,0.97105,0.98799,0.84854,0.61242,0.28311,1.21928,5.7824e-05,5.7824e-05,5.7824e-05
42,10560.4,0.38118,0.2028,0.92606,0.97251,0.97216,0.98806,0.84892,0.61421,0.28828,1.22475,5.23196e-05,5.23196e-05,5.23196e-05
43,10811,0.37179,0.20072,0.9182,0.97502,0.97416,0.98863,0.84949,0.61282,0.28167,1.22339,4.68152e-05,4.68152e-05,4.68152e-05
44,11061.1,0.36717,0.19271,0.9145,0.98081,0.96795,0.98776,0.85098,0.61479,0.28145,1.2231,4.13108e-05,4.13108e-05,4.13108e-05
45,11311.5,0.36202,0.18718,0.90939,0.9781,0.97062,0.9887,0.85464,0.61242,0.27892,1.22697,3.58064e-05,3.58064e-05,3.58064e-05
46,11562,0.35622,0.18103,0.90745,0.97811,0.97224,0.98913,0.85397,0.6138,0.27457,1.2255,3.0302e-05,3.0302e-05,3.0302e-05
47,11812.4,0.35434,0.17851,0.90709,0.97659,0.97672,0.98851,0.85446,0.61318,0.27516,1.22953,2.47976e-05,2.47976e-05,2.47976e-05
48,12062.4,0.34754,0.17294,0.89885,0.97434,0.97825,0.98883,0.85487,0.61288,0.27495,1.23169,1.92932e-05,1.92932e-05,1.92932e-05
49,12312.3,0.34288,0.17106,0.89956,0.9783,0.97381,0.98956,0.85489,0.61298,0.27445,1.23235,1.37888e-05,1.37888e-05,1.37888e-05
50,12562.6,0.33856,0.16994,0.8954,0.97447,0.97601,0.98934,0.8553,0.61136,0.2724,1.2294,8.2844e-06,8.2844e-06,8.2844e-06
